variable_name,source_file,source_module,line,declared_type,attributes,dimensions,is_parameter,target_file,target_module,target_module_purpose,proposed_rename,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
PMASS,src/contaminant/plant_cc.f90,PLANT_CC,99,DOUBLEPRECISION,,(NPLTEE),False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Maximum plant-material mass per unit ground area, by plant type."
PFONE,src/contaminant/plant_cc.f90,PLANT_CC,101,DOUBLEPRECISION,,"(NELEE, NPELEE)",False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Fractional ground cover of each soil-column plant slot.
PFTWO,src/contaminant/plant_cc.f90,PLANT_CC,102,DOUBLEPRECISION,,(NPLTEE),False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,0,,1,src/contaminant/CMmod.f90,"Current canopy leaf area index copied from `CLAI`, by plant type."
PF2MAX,src/contaminant/plant_cc.f90,PLANT_CC,103,DOUBLEPRECISION,,(NPLTEE),False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Maximum canopy leaf area index used to normalize `PFTWO`, by plant type."
PDZF3,src/contaminant/plant_cc.f90,PLANT_CC,104,DOUBLEPRECISION,,"(NELEE, NPELEE, LLEE)",False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Root fraction; declaration and current access orders disagree as warned above.
XXI,src/contaminant/plant_cc.f90,PLANT_CC,106,DOUBLEPRECISION,,,False,src/contaminant/cm_plant_state.f90,cm_plant_state,Plant-uptake state and parameters shared with the nitrate component.,,0,,1,src/contaminant/CMmod.f90,Uninitialized weighting applied with the mobile-water fraction in contaminant transport and plant uptake.
DLSO,src/contaminant/sed_co.f90,SED_CO,55,DOUBLEPRECISION,,(NELEE),False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous loose/bed-sediment depth by element [m]; actively used for columns.
GNUO,src/contaminant/sed_co.f90,SED_CO,56,DOUBLEPRECISION,,(NELEE),False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous ground-surface erosion depth rate by element [m/s]; actively used for columns.
FBETAO,src/contaminant/sed_co.f90,SED_CO,58,DOUBLEPRECISION,,"(NELEE, NSEDEE)",False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,0,,1,src/contaminant/CMmod.f90,Previous loose/bed-sediment composition fraction by element and size class.
FDELO,src/contaminant/sed_co.f90,SED_CO,59,DOUBLEPRECISION,,"(NELEE, NSEDEE)",False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous `FDEL` settled-depth/water-depth ratio by element and size class.
FBBEDO,src/contaminant/sed_co.f90,SED_CO,60,DOUBLEPRECISION,,"(NLFEE, NSEDEE)",False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous combined channel-bed composition fraction by link and size class.
FBTSDO,src/contaminant/sed_co.f90,SED_CO,61,DOUBLEPRECISION,,"(NLFEE, NSEDEE)",False,src/contaminant/cm_sediment_previous.f90,cm_sediment_previous,Previous-timestep sediment state used by the transport equations.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous newly deposited sediment composition fraction by link and size class.
R8P,src/core/mod_parameters.f90,mod_parameters,56,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,2,src/core/sglobal.f90;src/util/tolerance_testing.f90,2,src/overland_channel/ZQmod.f90;src/util/mod_load_filedata.f90,Real kind with precision >= 15 and range >= 307.
R4P,src/core/mod_parameters.f90,mod_parameters,57,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Real kind with precision >= 6 and range >= 37.
R_P,src/core/mod_parameters.f90,mod_parameters,58,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,"Project-selected real-kind alias, currently `R8P`."
I8P,src/core/mod_parameters.f90,mod_parameters,60,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Integer kind with decimal range >= 18.
I4P,src/core/mod_parameters.f90,mod_parameters,61,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Integer kind with decimal range >= 9.
I2P,src/core/mod_parameters.f90,mod_parameters,62,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Integer kind with decimal range >= 4.
I1P,src/core/mod_parameters.f90,mod_parameters,63,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Integer kind with decimal range >= 2.
I_P,src/core/mod_parameters.f90,mod_parameters,64,integer,parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,27,src/contaminant/CONT_CC.F90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/core/sglobal.f90;src/core/state/AL_C.F90;src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/nitrate/MNmod.f90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90;src/snow/SMmod.f90;src/subsurface/VSmod.f90;src/util/mod_error.f90;src/util/tolerance_testing.f90;src/visualisation/visualisation_extras.f90;src/visualisation/visualisation_hdf5.f90;src/visualisation/visualisation_interface_centre.f90;src/visualisation/visualisation_interface_left.f90;src/visualisation/visualisation_interface_right.f90;src/visualisation/visualisation_map.f90;src/visualisation/visualisation_metadata.f90;src/visualisation/visualisation_pass.f90;src/visualisation/visualisation_read_parser.f90;src/visualisation/visualisation_structure.f90,3,src/driver/getdirqq.f90;src/overland_channel/ZQmod.f90;src/util/mod_load_filedata.f90,"Project-selected integer-kind alias, currently `I4P`."
LENGTH_FILEPATH,src/core/mod_parameters.f90,mod_parameters,68,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,3,src/core/sglobal.f90;src/frame/FRmod.f90;src/util/mod_error.f90,1,src/driver/getdirqq.f90,Project path buffer; classic Windows `MAX_PATH` size.
LENGTH_LINE,src/core/mod_parameters.f90,mod_parameters,69,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,26,src/contaminant/CONT_CC.F90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/core/state/AL_C.F90;src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/nitrate/MNmod.f90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90;src/snow/SMmod.f90;src/subsurface/VSmod.f90;src/util/mod_error.f90;src/util/utilsmod.f90;src/visualisation/visualisation_extras.f90;src/visualisation/visualisation_hdf5.f90;src/visualisation/visualisation_interface_centre.f90;src/visualisation/visualisation_interface_left.f90;src/visualisation/visualisation_interface_right.f90;src/visualisation/visualisation_map.f90;src/visualisation/visualisation_metadata.f90;src/visualisation/visualisation_pass.f90;src/visualisation/visualisation_read_parser.f90;src/visualisation/visualisation_structure.f90,3,src/driver/getdirqq.f90;src/overland_channel/ZQmod.f90;src/util/mod_load_filedata.f90,Short text and diagnostic buffer length.
LENGTH_LINELONG,src/core/mod_parameters.f90,mod_parameters,70,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,1,src/visualisation/visualisation_read_parser.f90,0,,Long text buffer; used for parser diagnostics.
LENGTH_LINEVERYLONG,src/core/mod_parameters.f90,mod_parameters,71,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,1,src/driver/rest.f90,0,,Very-long text buffer; upper bound for the dated meteorological record buffer in [[rest]].
LENGTH_TEXT_R8P,src/core/mod_parameters.f90,mod_parameters,72,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,1,src/driver/rest.f90,0,,"Characters reserved per free-format `R8P` value, including its separator."
NAN_REAL_R8P,src/core/mod_parameters.f90,mod_parameters,76,real(kind=R8P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Finite missing-value sentinel stored as `R8P`.
NAN_REAL_R_P,src/core/mod_parameters.f90,mod_parameters,77,real(kind=R_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Same sentinel stored with project real kind `R_P`.
NAN_INT_I4P,src/core/mod_parameters.f90,mod_parameters,78,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Finite integer sentinel; `I_P` currently equals `I4P`.
NAN_INT_I_P,src/core/mod_parameters.f90,mod_parameters,79,integer(kind=I_P),parameter,,True,src/core/mod_parameters.f90,mod_parameters,"Numeric kinds, buffer lengths, sentinels, mathematical and physical constants.",,0,,0,,Alias of `NAN_INT_I4P` for project integer kind `I_P`.
SHEVER,src/core/sglobal.f90,sglobal,111,REAL(KIND=R8P),PARAMETER,,True,src/core/build_info.f90,build_info,"Version number, development flag and banner text.",,1,src/visualisation/visualisation_interface_left.f90,1,src/frame/FRmod.f90,SHETRAN version number (Major.Minor format).
BDEVER,src/core/sglobal.f90,sglobal,112,LOGICAL,PARAMETER,,True,src/core/build_info.f90,build_info,"Version number, development flag and banner text.",,0,,1,src/frame/FRmod.f90,"Development version flag. `.TRUE.` for development, `.FALSE.` for release."
BANNER,src/core/sglobal.f90,sglobal,113,CHARACTER(*),PARAMETER,,True,src/core/build_info.f90,build_info,"Version number, development flag and banner text.",,0,,1,src/frame/FRmod.f90,Banner for local implementation.
RUNFIL,src/core/sglobal.f90,sglobal,114,CHARACTER(*),PARAMETER,,True,src/core/build_info.f90,build_info,"Version number, development flag and banner text.",,0,,1,src/Shetran.f90,Base filename for run data files.
nxee,src/core/sglobal.f90,sglobal,119,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/core/state/AL_G.F90;src/nitrate/MNmod.f90,6,src/contaminant/CMmod.f90;src/frame/FRmod.f90;src/overland_channel/OCmod.f90;src/sediment/SYmod.f90;src/util/mod_load_filedata.f90;src/util/utilsmod.f90,Maximum basic-grid extent in the x direction.
nyee,src/core/sglobal.f90,sglobal,120,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/core/state/AL_G.F90;src/nitrate/MNmod.f90,6,src/contaminant/CMmod.f90;src/frame/FRmod.f90;src/overland_channel/OCmod.f90;src/sediment/SYmod.f90;src/util/mod_load_filedata.f90;src/util/utilsmod.f90,Maximum basic-grid extent in the y direction.
nlfee,src/core/sglobal.f90,sglobal,121,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,9,src/contaminant/CONT_CC.F90;src/contaminant/bk_cw.f90;src/contaminant/link/link_cw.f90;src/contaminant/plant_cc.f90;src/contaminant/sed_co.f90;src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/nitrate/MNmod.f90;src/sediment/SED_CS.F90,8,src/contaminant/CMmod.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90;src/subsurface/VSmod.f90;src/util/mod_load_filedata.f90,Maximum number of channel links.
nelee,src/core/sglobal.f90,sglobal,122,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,10,src/contaminant/CONT_CC.F90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/contaminant/plant_cc.f90;src/contaminant/sed_co.f90;src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/core/state/AL_G.F90;src/nitrate/MNmod.f90;src/sediment/SED_CS.F90,10,src/contaminant/CMmod.f90;src/driver/rest.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90;src/subsurface/VSmod.f90;src/util/mod_load_filedata.f90;src/util/utilsmod.f90,"Maximum total number of grid, bank, and channel-link elements."
LLEE,src/core/sglobal.f90,sglobal,123,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,13,src/contaminant/CONT_CC.F90;src/contaminant/bk_cw.f90;src/contaminant/column/colm_c2.f90;src/contaminant/column/colm_cc.f90;src/contaminant/column/colm_cc1.f90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/contaminant/link/link_cc.f90;src/contaminant/link/link_cc1.f90;src/contaminant/plant_cc.f90;src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/nitrate/MNmod.f90,5,src/contaminant/CMmod.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/subsurface/VSmod.f90;src/util/mod_load_filedata.f90,Maximum number of vertical computational cells per element.
NVEE,src/core/sglobal.f90,sglobal,125,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/contaminant/column/colm_cg.f90;src/core/state/AL_C.F90;src/core/state/AL_D.f90;src/nitrate/MNmod.f90,5,src/driver/rest.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/sediment/SYmod.f90;src/snow/SMmod.f90,"Vegetation/meteorological-series capacity, including rainfall stations."
NSEE,src/core/sglobal.f90,sglobal,126,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/contaminant/CONT_CC.F90;src/core/state/AL_C.F90;src/nitrate/MNmod.f90;src/sediment/SED_CS.F90,4,src/contaminant/CMmod.f90;src/frame/FRmod.f90;src/sediment/SYmod.f90;src/subsurface/VSmod.f90,Maximum number of soil types.
NVSEE,src/core/sglobal.f90,sglobal,127,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/core/state/AL_C.F90,2,src/frame/FRmod.f90;src/subsurface/VSmod.f90,Maximum number of entries in VSS lookup and boundary tables.
NVBP,src/core/sglobal.f90,sglobal,128,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,0,,2,src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90,Maximum time-varying vegetation breakpoints per vegetation type.
NUZTAB,src/core/sglobal.f90,sglobal,129,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,0,,2,src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90,"Maximum PSI, RCF, and FET lookup entries per vegetation type."
NLYREE,src/core/sglobal.f90,sglobal,130,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,2,src/core/state/AL_C.F90;src/nitrate/MNmod.f90,3,src/frame/FRmod.f90;src/sediment/SYmod.f90;src/subsurface/VSmod.f90,Soil-layer boundary capacity (maximum layers plus one).
NSETEE,src/core/sglobal.f90,sglobal,131,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/core/state/AL_D.f90,0,,Maximum output sets in legacy binary results metadata.
NOCTAB,src/core/sglobal.f90,sglobal,132,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/core/state/AL_D.f90,3,src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90,"Maximum OC roughness, cross-section, or boundary-table category count."
NSEDEE,src/core/sglobal.f90,sglobal,133,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/contaminant/CONT_CC.F90;src/contaminant/sed_co.f90;src/core/state/AL_C.F90;src/sediment/SED_CS.F90,3,src/contaminant/CMmod.f90;src/frame/FRmod.f90;src/sediment/SYmod.f90,Maximum number of sediment size fractions.
NCONEE,src/core/sglobal.f90,sglobal,134,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,4,src/contaminant/CONT_CC.F90;src/contaminant/plant_cc.f90;src/core/state/AL_D.f90;src/nitrate/MNmod.f90,2,src/contaminant/CMmod.f90;src/frame/FRmod.f90,Maximum number of numeric contaminants.
NOLEE,src/core/sglobal.f90,sglobal,135,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,1,src/contaminant/column/colm_cg.f90,1,src/frame/FRmod.f90,Maximum contaminant column-overlap entries.
NPLTEE,src/core/sglobal.f90,sglobal,136,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,2,src/contaminant/plant_cc.f90;src/nitrate/MNmod.f90,1,src/frame/FRmod.f90,Maximum number of contaminant plant types.
NPELEE,src/core/sglobal.f90,sglobal,137,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,2,src/contaminant/plant_cc.f90;src/nitrate/MNmod.f90,1,src/frame/FRmod.f90,Maximum number of contaminant plant slots per element.
max_no_snowmelt_slugs,src/core/sglobal.f90,sglobal,138,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,0,,2,src/frame/FRmod.f90;src/snow/SMmod.f90,Maximum stored snowmelt-slug records per element.
NXSCEE,src/core/sglobal.f90,sglobal,139,INTEGER(KIND=I_P),PARAMETER,,True,src/core/array_limits.f90,array_limits,Compile-time capacity bounds shared by more than one component.,,0,,3,src/frame/FRmod.f90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90,Number of samples in each channel cross-section/conveyance table.
total_no_elements,src/core/sglobal.f90,sglobal,144,INTEGER(KIND=I_P),,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,6,src/contaminant/CMmod.f90;src/contaminant/CONT_CC.F90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/core/state/AL_C.F90;src/visualisation/visualisation_interface_left.f90,9,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90;src/snow/SMmod.f90;src/subsurface/VSmod.f90;src/util/utilsmod.f90,"Active total number of grid, bank, and channel-link elements."
total_no_links,src/core/sglobal.f90,sglobal,145,INTEGER(KIND=I_P),,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,3,src/contaminant/CMmod.f90;src/contaminant/CONT_CC.F90;src/visualisation/visualisation_interface_left.f90,8,src/driver/rest.f90;src/driver/run_sim.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/subsurface/VSmod.f90;src/util/utilsmod.f90,Active number of channel links; link elements occupy the first indices.
top_cell_no,src/core/sglobal.f90,sglobal,146,INTEGER(KIND=I_P),,,False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,5,src/contaminant/CONT_CC.F90;src/contaminant/column/colm_cg.f90;src/contaminant/column/colm_co.f90;src/core/state/AL_C.F90;src/visualisation/visualisation_interface_left.f90,5,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/subsurface/VSmod.f90,Greatest active VSS cell index across all element columns.
szmonte,src/core/sglobal.f90,sglobal,147,INTEGER(KIND=I_P),,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive retained Monte Carlo state; no current consumer.
ran2monte1,src/core/sglobal.f90,sglobal,148,INTEGER(KIND=I_P),,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive retained Monte Carlo state; no current consumer.
ran2monte2,src/core/sglobal.f90,sglobal,149,INTEGER(KIND=I_P),,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive retained Monte Carlo state; no current consumer.
pcmonte,src/core/sglobal.f90,sglobal,150,INTEGER(KIND=I_P),,,False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive retained Monte Carlo state; no current consumer.
montec,src/core/sglobal.f90,sglobal,151,INTEGER(KIND=I_P),"DIMENSION(:, :), ALLOCATABLE","(:, :)",False,src/core/legacy_retained.f90,legacy_retained,Retained state documented as having no current producer or consumer.,,0,,0,,Inactive Monte Carlo array; never allocated by current code.
DIRQQ,src/core/sglobal.f90,sglobal,152,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,1,src/visualisation/visualisation_interface_left.f90,3,src/Shetran.f90;src/driver/run_sim.f90;src/frame/FRmod.f90,Parent directory of the selected rundata file; may be `.` or a pathname.
filnam,src/core/sglobal.f90,sglobal,153,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,0,,3,src/Shetran.f90;src/frame/FRmod.f90;src/util/mod_load_filedata.f90,Mutable filename buffer used by command-line setup and rundata-record reading.
cnam,src/core/sglobal.f90,sglobal,154,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,0,,3,src/Shetran.f90;src/driver/run_sim.f90;src/frame/FRmod.f90,Catchment name derived from the selected rundata filename stem.
rootdir,src/core/sglobal.f90,sglobal,155,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,2,src/util/mod_error.f90;src/visualisation/visualisation_interface_left.f90,1,src/Shetran.f90,Process working directory captured at command-line setup.
hdf5filename,src/core/sglobal.f90,sglobal,156,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,1,src/visualisation/visualisation_interface_left.f90,1,src/frame/FRmod.f90,HDF5 pathname from nonblank rundata record 50.
visualisation_plan_filename,src/core/sglobal.f90,sglobal,157,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,1,src/visualisation/visualisation_interface_left.f90,1,src/frame/FRmod.f90,Visualisation-plan pathname from nonblank rundata record 48.
visualisation_check_filename,src/core/sglobal.f90,sglobal,158,CHARACTER(LEN=LENGTH_FILEPATH),,,False,src/core/run_context.f90,run_context,"Selected rundata paths, catchment name and command-line run options.",,1,src/visualisation/visualisation_interface_left.f90,1,src/frame/FRmod.f90,Visualisation-check pathname from nonblank rundata record 49.
UZNOW,src/core/sglobal.f90,sglobal,159,REAL(KIND=R8P),,,False,src/core/simulation_clock.f90,simulation_clock,"Simulation time, timestep number and the coupled ET/VSS step lengths.",,4,src/contaminant/CMmod.f90;src/overland_channel/ZQmod.f90;src/util/mod_error.f90;src/visualisation/visualisation_interface_left.f90,6,src/Shetran.f90;src/driver/rest.f90;src/driver/run_sim.f90;src/frame/FRmod.f90;src/sediment/SYmod.f90;src/subsurface/VSmod.f90,Current simulation time measured from the configured start [h].
cellarea,src/core/sglobal.f90,sglobal,160,REAL(KIND=R8P),DIMENSION(nelee),(nelee),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,1,src/contaminant/CMmod.f90,7,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/subsurface/VSmod.f90,"Plan area of each active element, `DXQQ*DYQQ` [m2]."
DXQQ,src/core/sglobal.f90,sglobal,161,REAL(KIND=R8P),DIMENSION(nelee),(nelee),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/contaminant/CMmod.f90;src/visualisation/visualisation_interface_left.f90,5,src/driver/run_sim.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90,Corrected x-direction plan dimension of each active element [m].
DYQQ,src/core/sglobal.f90,sglobal,162,REAL(KIND=R8P),DIMENSION(nelee),(nelee),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/contaminant/CMmod.f90;src/visualisation/visualisation_interface_left.f90,5,src/driver/run_sim.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90,Corrected y-direction plan dimension of each active element [m].
ZGRUND,src/core/sglobal.f90,sglobal,163,REAL(KIND=R8P),DIMENSION(nelee),(nelee),False,src/core/element_geometry.f90,element_geometry,"Element counts, plan dimensions, areas, ground elevation and processing order.",,2,src/contaminant/CMmod.f90;src/visualisation/visualisation_interface_left.f90,10,src/driver/rest.f90;src/driver/run_sim.f90;src/evapotranspiration/ETmod.f90;src/frame/FRmod.f90;src/overland_channel/OCQDQMOD.F90;src/overland_channel/OCmod.f90;src/overland_channel/OCmod2.f90;src/sediment/SYmod.f90;src/snow/SMmod.f90;src/subsurface/VSmod.f90,Ground-surface elevation of each active element [m].
